7.1.1.1	Chapter 1: Studying Life
7.46.1.6.3.2	Thus sensory input from the right hand goes to the left cerebral hemisphere, and sensory input from the left hand goes to the right cerebral hemisphere.
7.46.1.6.3.3	The exception is the head, where the left side is controlled by the left cerebral hemisphere and the right side by the right cerebral hemisphere.
7.46.1.6.3.4	The two hemispheres are not symmetrical with respect to all functions.
7.46.1.6.3.5	Language abilities, for example, reside predominantly in the left hemisphere in most people.
7.46.1.6.4.1	Different regions of the cerebral cortex have specific functions (Figure 46.4B).
7.46.1.6.4.2	Some of those functions are easily defined, such as receiving and processing sensory information or generating motor commands, but in most humans most of the cortex is involved in higher-order information processing that is less easy to define.
7.46.1.6.4.3	These latter areas are given the general name of association cortex, so named because they integrate, or associate, information from different sensory modalities and from memory.
7.46.1.6.5.1	To understand the cerebral cortex, it helps to have an anatomical road map.
7.46.1.6.5.2	Viewed from the left side, the left cerebral hemisphere looks like a boxing glove for the right hand with the fingers pointing forward, the thumb pointing out, and the wrist at the rear.
7.46.1.6.5.3	The &#8220;thumb&#8221; area is the temporal lobe, the fingers the frontal lobe, the back of the hand the parietal lobe, and the wrist the occipital lobe (see Figure 46.4A).
7.46.1.6.5.4	What you can&#8217;t see from the external view is the insular cortex, which is folded in between the thumb and finger areas of the boxing glove (between the frontal/parietal and the temporal lobes).
7.46.1.6.5.5	The right cerebral hemisphere shows a mirror image of this arrangement.
7.46.1.6.5.6	We will look at each lobe separately.
7.46.1.6.1.1.1	The upper region of the temporal lobe receives and processes auditory information.
7.46.1.6.1.1.2	The association areas of this lobe are involved in recognizing, identifying, and naming objects.
7.46.1.6.1.1.3	Damage to the temporal lobe results in disorders called agnosias, in which the individual is aware of an object but cannot identify it.
7.46.1.6.1.2.1	Damage to a specific region of the temporal lobe results in the inability to recognize faces.
7.46.1.6.1.2.2	Even old acquaintances cannot be identified by facial features, although they may be identified by other attributes such as voice, body features, and posture.
7.46.1.6.1.2.3	Damage to other association areas of the temporal lobe can cause deficits in understanding spoken language, although speaking, reading, and writing abilities may be intact.
7.46.1.6.2.1.1	The frontal and parietal lobes are separated by a deep valley called the central sulcus.
7.46.1.6.2.1.2	A strip of the frontal lobe cortex just in front of the central sulcus is called the primary motor cortex (see Figure 46.4B).
7.46.1.6.2.1.3	The neurons in this region control muscles in specific parts of the body; the parts of the body map onto the primary motor cortex, with the head represented in the lower outside region and the legs and feet in the top region near the midline.
7.46.1.6.2.1.4	The graphic drawing of body parts overlying the diagram of the cortex is called a homunculus, and its distortion represents disproportionate innervation.
7.46.1.6.2.1.5	Parts of the body with fine motor control, such as the face and hands, have disproportionate representation (Figure 46.5A).
7.46.1.6.2.1.6	Electrical stimulation of neurons in different regions of the primary motor cortex causes specific muscles of the body to twitch.
7.46.1.6.2.1.7	Just anterior to the primary motor cortex is the pre-motor cortex, which is involved in planning more complex and coordinated movements.
7.46.1.6.2.1.8	Figure 46.5 The Body Is Represented in Primary Motor and Primary Somatosensory Cortexes
7.46.1.6.2.2.1	The association functions of the frontal lobe are diverse and best described as having to do with feeling and planning.
7.46.1.6.2.2.2	They are said to have executive function and they contribute significantly to personality.
7.46.1.6.2.2.3	People with frontal lobe damage have drastic alterations of personality and difficulty planning future events.
7.46.1.6.2.2.4	A dramatic case of frontal lobe damage is that of Phineas Gage, who in 1848 was an industrious and responsible young railroad construction foreman.
7.46.1.6.2.2.5	Then a blasting accident shot a meter-long, 3-centimeter-wide iron tamping rod through his brain.
7.46.1.6.2.2.6	The rod entered Gage&#8217;s head below his left eye, passed through his frontal lobe, and exited the top of his head (Figure 46.6).
7.46.1.6.2.2.7	Figure 46.6 A Mind-Altering Experience
7.46.1.6.2.3.1	Remarkably, Gage survived, but he had a different personality.
7.46.1.6.2.3.2	In the years following his recovery, he was quarrelsome, impatient, obstinate, and used profane language, which he did not do before.
7.46.1.6.2.3.3	He lost his railroad job and earned money by telling his story and exhibiting his scars (and the tamping iron).
7.46.1.6.2.3.4	Several years later, however, he took a job as a stage coach driver in Chile   a challenging job indicating considerable behavioral recovery.
7.46.1.6.2.3.5	He died of a seizure in 1860, at the age of 38.
7.46.1.6.2.3.6	If you are in Boston, you can pay him a visit   his skull, death mask, and the tamping iron are on display in the Warren Anatomical Museum of Harvard Medical School.
7.46.1.6.3.1.1	The strip of parietal lobe cortex just behind the central sulcus is the primary somatosensory cortex (see Figure 46.4B).
7.46.1.6.3.1.2	This area receives touch and pressure information relayed from the body through the thalamus.
7.46.1.6.3.2.1	As with the primary motor cortex, the entire body surface can be mapped onto the primary somatosensory cortex (Figure 46.5B).
7.46.1.6.3.2.2	Areas of the body that have a high density of tactile mechanoreceptors and are capable of making fine discriminations in touch (such as the lips and fingers) have disproportionately large representation.
7.46.1.6.3.2.3	If a very small area of the primary somatosensory cortex is stimulated electrically, the subject reports feeling specific sensations, such as touch, in a localized part of the body.
7.46.1.6.3.3.1	A major association function of the parietal lobe is attending to complex stimuli.
7.46.1.6.3.3.2	Damage to the right parietal lobe causes a condition called contralateral neglect syndrome, in which the individual tends to ignore stimuli from the left side of the body or the left visual field.
7.46.1.6.3.3.3	Such individuals have difficulty performing complex tasks, such as dressing the left side of the body; an afflicted man may not be able to shave the left side of his face.
7.46.1.6.3.3.4	When asked to copy simple drawings, a person who exhibits this syndrome can do well with the right side of the drawing but not the left.
7.46.1.6.3.4.1	The parietal cortex is not symmetrical with respect to its role in attention.
7.46.1.6.3.4.2	Damage to the left parietal cortex does not cause the same degree of neglect of the right side of the body.
7.46.1.6.3.4.3	You will see similar asymmetries in cortical function later in the chapter when we discuss language.
7.46.1.6.4.1.1	The occipital lobe receives and processes visual information.
7.46.1.6.4.1.2	The association areas of the occipital cortex are essential for making sense of the visual world and translating visual experience into language.
7.46.1.6.4.1.3	Some deficits resulting from damage to these areas are specific.
7.46.1.6.4.1.4	In one case, a woman with limited damage was unable to see motion.
7.46.1.6.4.1.5	Her vision was intact, but she could see a waterfall only as a still image, and an approaching car only as a series of a stationary object at different distances.
7.46.1.6.5.1.1	The insular cortex, buried deep in the forebrain, receives a great variety of afferent information.
7.46.1.6.5.1.2	The posterior regions receive somatosensory information (e. g. , touch, pain, temperature); the middle region combines that with autonomic regulatory information and drives (e. g. , hunger, thirst, sex); and the anterior region, which is well developed in higher primates, elephants, and marine mammals, receives information about social interactions.
7.46.1.6.5.1.3	Thus in mammals the insular cortex appears to integrate physiological information from all over the body to create a sensation of how the body &#8220;feels,&#8221; and in the higher mammals it may extend that function into a sense of self.
7.46.1.7.1.1	Humans are sometimes called &#8220;big-brain primates,&#8221; and that is an accurate characterization.
7.46.1.7.1.2	Across vertebrate species there is a correlation between body size and brain size (Figure 46.7).
7.46.1.7.1.3	Higher primates such as chimpanzees, baboons, and gorillas all fall above this regression line, but humans stand out because they are so far above the regression line.
7.46.1.7.1.4	Gorillas are much larger than humans, but they have smaller brains.
7.46.1.7.1.5	Elephants and whales have large brains, but they fall closer to the regression line.
7.46.1.7.1.6	Dolphins and humans stand out as having much larger brains than would be predicted by their body sizes.
7.46.1.7.1.7	Figure 46.7 Evolution of the Human Brain
7.46.1.7.2.1	The correlation of brain size to body size does not tell the whole story of human brain evolution, however.
7.46.1.7.2.2	In Figure 44.15, which compares the brains of four vertebrates, we see that the forebrain is larger than other brain regions, and in mammals this is seen as an elaboration of the cerebral cortex.
7.46.1.7.2.3	If we look just at mammals, another feature is the degree of convolution of the cortex.
7.46.1.7.2.4	Since the cortex is a layered, two-dimensional array of neurons, the area of cortex is increased by convolutions, which are greatest in humans.
7.46.1.7.2.5	And finally, the percent of the cortex that is association cortex (i. e. , devoted to the integration of information) is by far the greatest in humans.
7.46.1.7.2.6	It is these evolutionary changes, primarily in the cortex, that provide the resources for the intellectual capacity of humans   a topic to which we will return at the end of the chapter.
7.46.1.7.3.1	46.1 recap
7.46.1.7.4.1	The central nervous system communicates with the rest of the body through the peripheral nervous system.
7.46.1.7.4.2	We are conscious of some sensory information coming into the CNS, but we are not conscious of other afferent information used in physiological regulation.
7.46.1.7.4.3	The brain develops from the anterior region of the embryonic neural tube.
7.46.1.7.4.4	The forebrain gives rise to the cerebrum, which is divided into five lobes.
7.46.1.7.4.5	Specific functions such as somatosensation, vision, hearing, motor control, smell, and speech are localized in specific cortical areas.
7.46.1.7.4.6	At the center of the cerebrum is the limbic system which contributes to the processing of emotions, inborn responses, and some types of memory.
7.46.1.7.4.7	Underneath the cerebrum is the hypothalamus, responsible for many autonomic functions, and the thalamus, which directs ascending information to the cortex.
7.46.1.7.4.8	The midbrain and hindbrain constitute the brainstem, within which are located many nuclei that support autonomic functions, including sleep and wakefulness.
7.46.1.7.4.9	Evolution of the human brain has resulted in a greatly increased cerebral cortex devoted to integration of information.
7.46.1.7.5.1	learning outcomes
7.46.1.7.6.1	You should be able to:
7.46.1.7.7.1	Describe and classify the types of afferent information to and efferent information from the nervous system.
7.46.1.7.8.1	Describe the developmental relationships between the major brain regions, starting with the forebrain, midbrain, and hindbrain and ending with structures such as the amygdala, hypothalamus, primary motor cortex, reticular-activating system, and other components of the adult brain.
7.46.1.7.9.1	Sketch the five lobes of the cerebrum and identify the primary sensory and motor areas.
7.46.1.7.10.1	Characterize the human brain in comparison to other mammals.
7.46.1.7.11.1	Given your understanding of afferent and efferent systems operating in the nervous system, give examples of brain   body feedback loops that influence each of the following:
7.46.1.7.12.1	Voluntary behavior through a conscious sensory stimulus
7.46.1.7.13.1	Involuntary responses through a conscious sensory stimulus
7.46.1.7.14.1	Involuntary responses through an unconscious stimulus
7.46.1.7.15.1	In the developmental and lethal disorder anencephaly, the anterior-most region of the developing neural tube fails to close.
7.46.1.7.15.2	Explain what impact this has on development of specific brain
7.46.1.7.16.1	What is significant about the location of the reading and language areas of the cerebral cortex as shown in Figure 46.4B
7.46.1.7.17.1	Key Concept 45.3 described the two-point spatial discrimination test.
7.46.1.7.17.2	How do the typical results of that test relate to Figure 46.5B?
7.46.1.7.18.1	The brain size of humans is significantly above the regression line for brain size as a function of body size in most other mammals.
7.46.1.7.18.2	Why is this observation an understatement of the difference in cerebral cortical capacity in humans as compared with other mammals?
7.46.1.7.19.1	Having briefly described the structure and function of different regions of the nervous system, we will now explore some examples of how information is processed by the neural circuitry in some specific brain regions.
7.46.1.7.20.1	Chapter 46 continues with
7.46.1.7.21.1	46.2 Nervous System Functions Rely on Neural Circuits
7.46.2.1.1	Pathways of the autonomic nervous system control involuntary physiological functions
7.46.2.2.1	The visual system is an example of information integration by the cerebral cortex
7.46.2.3.1	Three-dimensional vision results from cortical cells receiving input from both eyes
7.46.2.4.1	Specific functions are localized in specific parts of the nervous system and depend on the neural circuits, or networks, in those structures.
7.46.2.4.2	A major focus of modern neuroscience is to understand how the various functions of the nervous system, ranging from simple reflexes to complex learning and memory, are accomplished by the interactions of neurons in circuits.
7.46.2.4.3	Two extensively studied examples of how neural networks process information are the autonomic nervous system (an output pathway) and the visual system (an input pathway).
7.46.2.5.1	focus your learning
7.46.2.6.1	To control involuntary autonomic responses, the sympathetic and parasympathetic divisions of the autonomic nervous system have distinct circuitry and typically induce opposite functional responses from target organs and tissues.
7.46.2.7.1	Visual information is transduced in the retina via center-surround receptive fields, resulting in patterns of action potential firing in ganglion cells that are transmitted to the visual cortex via the thalamus.
7.46.2.8.1	Binocular neurons in the visual cortex receive input from both eyes and thereby enable depth perception in humans.
7.46.2.1.1.1	The autonomic nervous system, or ANS, includes CNS and PNS components and controls many involuntary functions, such as heart rate, blood flow, sweating, and digestive activities.
7.46.2.1.1.2	Its control of diverse organs and tissues is crucial to homeostasis.
7.46.2.1.1.3	The ANS has two divisions, sympathetic and parasympathetic, that work in opposition to each other in their effects on most organs (Figure 46.8).
7.46.2.1.1.4	The sympathetic and parasympathetic divisions are easily distinguished by their anatomy, neurotransmitters, and actions.
7.46.2.1.1.5	Figure 46.8 The Autonomic Nervous System
7.46.2.1.2.1	The best-known functions of the ANS are those of the sympathetic division that produce the fight-or-flight response: increasing heart rate, blood pressure, and cardiac output and which prepares the body for emergencies (see Figure 40.3).
7.46.2.1.2.2	In contrast, the parasympathetic division slows the heart and lowers blood pressure; its actions have been characterized as &#8220;rest and digest. &#8221; It is tempting to think of the sympathetic division as speeding things up and the parasympathetic division as slowing things down, but it is not that simple; for example, the sympathetic division slows down the digestive system whereas the parasympathetic division accelerates it.
7.46.2.1.3.1	Whether sympathetic or parasympathetic, every autonomic efferent pathway begins with a cholinergic neuron (that is, a neuron that uses acetylcholine as its neurotransmitter) that has its cell body in the brainstem or spinal cord.
7.46.2.1.3.2	These cells are called preganglionic neurons because the second neuron in the pathway with which they synapse resides in a collection of neurons outside the CNS called a ganglion (plural ganglia).
7.46.2.1.3.3	The second neuron is called a postganglionic neuron because its axon extends out from the ganglion.
7.46.2.1.3.4	The axon of the postganglionic neuron synapses with cells in the target organs (see Figure 46.8).
7.46.2.1.4.1	The postganglionic neurons of the sympathetic division mostly use norepinephrine (also known as noradrenaline) as their neurotransmitter.
7.46.2.1.4.2	In contrast, the postganglionic neurons of the parasympathetic division are mostly cholinergic.
7.46.2.1.4.3	In organs that receive both sympathetic and parasympathetic input, the target cells respond in an opposite manner to norepinephrine and to acetylcholine.
7.46.2.1.4.4	This happens, for example, in a region of the heart called the pacemaker, which initiates the heartbeat.
7.46.2.1.4.5	Stimulating the sympathetic nerve to the heart or dripping norepinephrine onto pacemaker cells increases their firing rate and causes the heart to beat faster.
7.46.2.1.4.6	In contrast, stimulating the parasympathetic nerve to the heart or dripping acetylcholine onto pacemaker cells decreases their firing rate and causes the heart to beat more slowly (see Figure 49.7).
7.46.2.1.5.1	The sympathetic and parasympathetic divisions of the ANS can also be distinguished by anatomy.
7.46.2.1.5.2	The preganglionic neurons of the parasympathetic division come from the cranial nerves of the brainstem and the sacral (lowest) region of the spinal cord; those of the sympathetic division come from the thoracic and lumbar regions of the spinal cord (see Figure 46.8).
7.46.2.1.5.3	Most of the ganglia of the sympathetic division are lined up and interconnected in two chains, one on either side of the spinal cord.
7.46.2.1.5.4	The parasympathetic ganglia are close to the target organs and are not interconnected.
7.46.2.1.6.1	The ANS is an important link between the CNS and many physiological functions.
7.46.2.1.6.2	Its control of diverse organs and tissues is crucial to homeostasis.
7.46.2.1.6.3	Despite the complexity of the ANS, work by neurobiologists and physiologists over many decades has made it possible to understand its functions in terms of neuronal properties and circuits.
7.46.2.2.1.1	The visual system is one of the most-studied input pathways to the CNS.
7.46.2.2.1.2	Key Concept 45.4 described how light falling on the retina produces signals that are transmitted through the cellular circuits of the retina, resulting in action potentials in the optic nerve.
7.46.2.2.1.3	But how does the brain use this information to represent the visual world?
7.46.2.2.1.1.1	Key Concept 45.4 described how a retinal ganglion cell collects information from several photoreceptors   an example of &#8220;convergence of information. &#8221; Each ganglion cell is communicating to the brain something more than simply the presence or absence or intensity of light falling on a portion of the retina.
7.46.2.2.1.2.1	The question of what information the retinal ganglion cell extracts from the photoreceptors was addressed in classic experiments by Stephen Kuffler, then at Johns Hopkins University.
7.46.2.2.1.2.2	He used electrodes to record the activity of single ganglion cells of cat eyes while stimulating their retinas with spots of light (Figure 46.9).
7.46.2.2.1.2.3	Kuffler&#8217;s experiments revealed that each ganglion cell has a well-defined receptive field composed of a group of photoreceptor cells that receive light from a small area of the entire visual field.
7.46.2.2.1.2.4	Stimulating these photoreceptors with light activates the ganglion cell, which sends action potentials to the thalamus and on to the visual cortex (the area of the occipital lobe where visual information is processed; see Figure 46.4).
7.46.2.2.1.2.5	Information from many photoreceptors is therefore communicated to the brain as a single message.
7.46.2.2.1.2.6	Individual photoreceptors may contribute to the receptive fields of multiple ganglion cells, so that receptive fields overlap.
7.46.2.2.1.3.1	experiment
7.46.2.2.1.4.1	Figure 46.9 What Does the Eye Tell the Brain?
7.46.2.2.1.5.1	Original Paper: Kuffler, S. W. 1953.
7.46.2.2.1.5.2	Discharge patterns and functional organization of mammalian retina.
7.46.2.2.1.5.3	Journal of Neurophysiology 16: 37   68.
7.46.2.2.1.6.1	Stephen Kuffler&#8217;s experiments recorded the activity of single ganglion cells in the eyes of cats.
7.46.2.2.1.6.2	These groundbreaking experiments revealed the existence of a circular receptive field for each of the retina&#8217;s ganglion cells.
7.46.2.2.1.6.3	Signals from photoreceptor cells in a receptive field are either excitatory or inhibitory to the ganglion cell, which sends action potentials via the optic nerve to the brain.
7.46.2.2.1.7.1	HYPOTHESIS Retinal ganglion cells are excited or inhibited by light and dark stimuli falling on local areas of the retina.
7.46.2.2.1.8.1	METHOD
7.46.2.2.1.9.1	Place electrodes next to an individual retinal ganglion cell.
7.46.2.2.1.10.1	Stimulate the retina with different combinations of light and dark stimuli and record the responses of the ganglion cell.
7.46.2.2.1.11.1	Continue recording and move the stimuli around the retina to find the area of sensitivity   the receptive field   for a specific ganglion cell.
7.46.2.2.1.12.1	RESULTS
7.46.2.2.1.13.1	CONCLUSION Ganglion cells use a center-surround dichotomy to encode patterns of contrast between light and dark.
7.46.2.2.1.14.1	Q: Why is there a blind spot in each eye?
7.46.2.2.1.15.1	The receptive fields of most ganglion cells are circular, but whether a spot of light falling on a receptive field excites or inhibits its ganglion cell depends both on the nature of the receptive field and on where the spot of light falls on it.
7.46.2.2.1.15.2	Receptive fields have a center and a concentric surround, and can be either &#8220;on-center&#8221; or &#8220;off-center. &#8221; Light falling on the center of an on-center receptive field excites the ganglion cell, and light falling on the center of an off-center receptive field inhibits the ganglion cell.
7.46.2.2.1.15.3	Light falling on the surround has the opposite effect: the surround for an on-center receptive field inhibits the ganglion cell, and the surround for an off-center field is excitatory.
7.46.2.2.1.15.4	Thus the activity of the ganglion cell reflects how much of the light stimulus is on the center and how much is on the surround of its receptive field (see Figure 46.9).
7.46.2.2.1.16.1	Center effects are always stronger than surround effects.
7.46.2.2.1.16.2	Thus a small dot of light directly on the center of a receptive field has the maximum effect, and a larger light stimulus illuminating the center and parts of the surround has a smaller effect.
7.46.2.2.1.16.3	A uniform patch of light falling equally on the center and surround has very little effect on the firing rate of the ganglion cell for that receptive field.
7.46.2.2.1.16.4	The center and surround almost exactly cancel one another, even though the area of the surround is much larger.
7.46.2.2.1.17.1	As is seen in Figure 46.9, photoreceptors synapse onto bipolar cells and bipolar cells onto ganglion cells.
7.46.2.2.1.17.2	This pattern of connectivity describes the relationship between the photoreceptors in the center of a receptive field.
7.46.2.2.1.17.3	The photoreceptors in the surround area modify communication between the center photoreceptors and their bipolar cells through the lateral connections of horizontal cells and amacrine cells.
7.46.2.2.1.17.4	Thus the receptive field of a ganglion cell results from a pattern of synapses between photoreceptors, horizontal cells, amacrine cells, and bipolar cells.
7.46.2.2.1.17.5	A general lesson to learn from this seemingly confusing chain of events is that inhibition can be as important as excitation in neural circuits.
7.46.2.2.1.18.1	In summary, the neural circuitry of the retina results in the generation of signals in the axons of the optic nerve that communicate simple information about the contrasting patterns of light and dark falling on different parts of the retina.
7.46.2.2.1.18.2	But once the action potentials in the optic nerve reach their destinations, how does the brain integrate them to construct visual images of the outside world?
7.46.2.2.2.1.1	The axons of the optic nerves terminate in a region of the thalamus that is a relay station receiving information from both the right and left eyes.
7.46.2.2.2.1.2	From the thalamus, the information encoded in the activity of axons in the optic nerves is relayed to the visual cortex in the occipital lobes at the back of the brain.
7.46.2.2.2.1.3	In the 1960s David Hubel and Torsten Wiesel of Harvard University studied the activity of neurons in the visual cortex by shining spots and bars of light on retinas while recording the activities of single cells in the cortex.
7.46.2.2.2.1.4	They found that many neurons in the visual cortex, like retinal ganglion cells, have receptive fields with regions that are mutually antagonistic.
7.46.2.2.2.2.1	Hubel and Weisel discovered that neurons in the visual cortex respond selectively to bars of light of different orientations falling on the retina, and in some cases to movement of those bars of light in different directions.
7.46.2.2.2.2.2	The concept that emerges from these experiments is that the brain assembles a mental image of the visual world by analyzing edges in patterns of light falling on the retina.
7.46.2.2.2.2.3	Each retina sends a million axons to the brain, but there are hundreds of millions of neurons in the visual cortex.
7.46.2.2.2.2.4	The action potentials from one retinal ganglion cell are received via the thalamus by hundreds of cortical neurons, each responsive to a different combination of orientation, position, color, and movement of contrasting lines in the patterns of light and dark falling on the retina.
7.46.2.3.1.1	How do we perceive objects in three dimensions?
7.46.2.3.1.2	The short answer is that our two eyes see overlapping, yet slightly different, visual fields   that is, humans have binocular vision.
7.46.2.3.1.3	A person who is blind in one eye has difficulty discriminating distances.
7.46.2.3.1.4	Animals whose eyes are on the sides of the head rather than facing front have minimal overlap in their fields of vision and, as a result, poor depth vision except for a narrow field straight ahead; however, they can see predators creeping up from all sides.
7.46.2.3.2.1	The story of how the brain integrates information from two eyes begins with the paths of the optic nerves.
7.46.2.3.2.2	The two optic nerves run along the underside of the brain, join just under the hypothalamus, and then separate again (Focus: Key Figure 46.10).
7.46.2.3.2.3	The place where they join is called the optic chiasm.
7.46.2.3.2.4	Axons from the half of each retina closest to the nose cross in the optic chiasm and go to the opposite side of the brain.
7.46.2.3.2.5	The axons from the outer half of each retina do not cross over at the optic chiasm; axons from the outer left retina go to the left side of the brain, and vice versa for axons from the outer right retina.
7.46.2.3.3.1	focus: key figure
7.46.2.3.4.1	Figure 46.10 How Do We See in 3-D?
7.46.2.3.5.1	(A) Our eyes have largely overlapping visual fields, and both eyes transmit information to both sides of the brain.
7.46.2.3.5.2	However, because the axons from the inner sides of the retinas cross at the optic chiasm, information from the visual space to the left of straight ahead goes to the right side of the brain, and information from the visual space to the right of straight ahead goes to the left side of the brain.
7.46.2.3.5.3	(B) Between these left and right eye columns of neurons are neurons that receive input from both eyes.
7.46.2.3.5.4	These are the binocular cells.
7.46.2.3.5.5	(C) Light from objects that are different distances away will fall at different locations on the retinas.
7.46.2.3.5.6	These disparities between where the image of the fixation point and the images of other objects fall on the retina means that different binocular cells will receive input from different retinal axons depending on how far away the object is.
7.46.2.3.5.7	These disparity sensitive cells enable depth perception and 3-D vision.
7.46.2.3.6.1	Q: What would be the consequences of an anterior   posterior cut of the optic chiasm on midline?
7.46.2.3.7.1	The functional consequence of the optic chiasm is that all of the visual information from the left side of your field of vision when you are looking straight ahead goes to the right side of your brain, and all of the visual information from the right side of your field of vision goes to the left side of your brain.
7.46.2.3.7.2	However, there is a very large area of overlap between the visual fields of the two eyes.
7.46.2.3.7.3	These relationships are shown in purple and green in Figure 46.10.
7.46.2.3.8.1	Because of the overlap between the visual fields of the two eyes, there can be neurons in the visual cortex that receive input from both the left and the right eye.
7.46.2.3.8.2	These are called binocular cells, and they can detect disparity between where the image of an object falls on the two retinas.
7.46.2.3.8.3	What is disparity?
7.46.2.3.8.4	Hold your finger out in front of you and look at it closing one eye and then the other.
7.46.2.3.8.5	Your finger appears to jump back and forth because its image falls on a different position on each retina.
7.46.2.3.8.6	Repeat the exercise with a distant object.
7.46.2.3.8.7	It doesn&#8217;t jump back and forth as much because there is less disparity in the positions of the image on the two retinas.
7.46.2.3.8.8	Certain binocular cells respond optimally to a stimulus falling on both retinas with a particular disparity.
7.46.2.3.8.9	Which set of binocular cells is stimulated depends on how far away the stimulus is.
7.46.2.3.9.1	When we look at something, we can detect its shape, color, depth, and movement.
7.46.2.3.9.2	Where does all this information come together?
7.46.2.3.9.3	Is there a single cell that fires only when a red sports car drives by?
7.46.2.3.9.4	The answer to that is probably no. Visual experience comes from simultaneous activity in many different cells.
7.46.2.3.9.5	In addition, most visual experiences are enhanced by information from the other senses and from memory, which helps explain why about 75 percent of the cerebral cortex is association cortex.
7.46.2.3.10.1	46.2 recap
7.46.2.3.11.1	Information in the nervous system is processed by cellular interactions in neural networks.
7.46.2.3.11.2	The opposing actions of the sympathetic and parasympathetic divisions of the ANS can be understood in terms of neural pathways consisting of just two neurons.
7.46.2.3.11.3	Vision begins with retinal photoreceptors organized into circular retinal receptive fields that influence the activity of retinal ganglion cells.
7.46.2.3.11.4	Information from ganglion cells is transmitted in the optic nerves to the thalamus and relayed from there to the visual cortex.
7.46.2.3.11.5	The left visual field from both eyes is represented in the right visual cortex, and vice versa for the right visual field.
7.46.2.3.11.6	Receptive fields of cortical cells represent input from multiple ganglion cells, and binocular, disparity-sensitive cortical cells enable depth perception.
7.46.2.3.12.1	learning outcomes
7.46.2.3.13.1	You should be able to:
7.46.2.3.14.1	Predict the outcome on effector tissues when specific peripheral nerves of the sympathetic or parasympathetic divisions of the autonomic nervous system are damaged or stimulated.
7.46.2.3.15.1	Explain how receptive fields are generated in the retina through the interactions between photoreceptors, bipolar cells, and ganglion cells, and through the modulation of their signaling by horizontal and amacrine cells.
7.46.2.3.16.1	Understand how neural connections between the eyes and the visual cortex produce three-dimensional vision.
7.46.2.3.17.1	Explain how a knife wound to left side of the neck can result in pupillary constriction in the left eye.
7.46.2.3.18.1	Why can a small spot of light on the retina cause a larger response in a retinal ganglion cell than a large spot of light falling on the same area of retina?
7.46.2.3.19.1	What changes in vision would occur if the optic chiasm were cut right on the midline?
7.46.2.3.20.1	By studying the neural circuitry of the visual system and the ANS, you have gained some understanding of how information reaches the CNS and how the CNS controls various functions of the body.
7.46.2.3.20.2	But what about the higher functions of the mammalian CNS   the complex functions between input and output, such as language, learning, memory, and dreams?
7.46.2.3.21.1	Chapter 46 continues with
7.46.2.3.22.1	46.3 Higher Brain Functions Involve Integration of Multiple Systems
7.46.3.1.1	Sleep and dreaming are reflected in electrical patterns in the cerebral cortex
7.46.3.2.1	Language abilities are localized in the left cerebral hemisphere
7.46.3.3.1	Some learning and memory can be localized to specific brain areas
7.46.3.4.1	We still cannot answer the question &#8220;What is consciousness?&#8221;
7.46.3.5.1	The higher brain functions discussed in the remaining pages of this chapter are undeniably complex.
7.46.3.5.2	Nevertheless, neuroscientists, using a wide range of techniques, are making considerable progress in understanding these functions in terms of their cellular, molecular, and network properties.
7.46.3.5.3	The following discussion will address several aspects of brain and behavior that present challenges to neuroscientists: sleep and dreaming, learning and memory, language use, and consciousness.
7.46.3.6.1	focus your learning
7.46.3.7.1	During wakefulness and REM sleep (dreaming), certain brainstem nuclei provide excitatory input that activates the thalamus and cortex, while in non-REM sleep these nuclei are less active.
7.46.3.8.1	Sleep states are divided into slow-wave sleep (non-REM) and REM sleep, and humans alternate between these states four or five times each night.
7.46.3.9.1	Sleep deprivation impairs cognitive functions.
7.46.3.10.1	Language functions are lateralized (typically within the left cerebral hemisphere).
7.46.3.10.2	Language ability involves parts of the occipital, parietal, temporal, and frontal lobes.
7.46.3.11.1	The cellular correlate for learning and memory is the modification of synaptic strength.
7.46.3.11.2	The hippocampus is important for acquiring and consolidating declarative memories.
7.46.3.12.1	In humans and higher mammals, the insular lobe integrates physiological information to generate a conscious awareness of the self.
7.46.3.1.1.1	A dominant feature of behavior is the daily cycle of sleep and waking.
7.46.3.1.1.2	All birds and mammals, probably all other vertebrates, and also many invertebrates, sleep.
7.46.3.1.1.3	We humans spend one-third of our lives sleeping, yet we do not know why or how.
7.46.3.1.1.4	We do know, however, that we need to sleep.
7.46.3.1.1.5	Loss of sleep impairs alertness and performance.
7.46.3.1.1.6	Many people in our society   certainly most college students   are chronically sleep-deprived.
7.46.3.1.1.7	Accidents and serious mistakes that endanger lives can be attributed to impaired alertness caused by lack of sleep.
7.46.3.1.1.8	Insomnia (difficulty in falling or staying asleep) is one of the most common medical complaints.
7.46.3.1.1.1.1	A common tool of sleep researchers is the electroencephalogram, or EEG.
7.46.3.1.1.1.2	Rather than recording the activity of single neurons, the EEG characterizes activity in huge numbers of neurons.
7.46.3.1.1.1.3	EEG electrodes are much larger than the fine electrodes used to detect single cell activity.
7.46.3.1.1.1.4	Placed at different locations on the head and scalp (Figure 46.11A), EEG electrodes record fluctuations in the electric potential differences between electrodes over time.
7.46.3.1.1.1.5	These differences reflect the electrical activity of the neurons in the brain regions under the electrodes, primarily regions of the cerebral cortex.
